attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,0,19757504,1,,good,4,CHM345,"One of the kindest people I have ever met, he has a sarcastic sense of humor in class but if you ever talk to him in office hours you get the sense that he really does want everyone to succeed and do the best they can in his course. Too bad he's retiring.",01/22/2012,5.0,5.0,,4,Sorta interested,4.0,4.0,1,Yes,1327239226000,N/A,4928,N/A,,N/A,[],person,people
N/A,average,average,good,0,16805932,0,,good,3,CHM243,"good prof, helpful during office hours..but students hav to realize its a hard course, only way to do well is to do tones of problems and keep up...and have to realize there are multiple ways of gettin to the answer...so dont always be stressing about using the profs way...lab marking was ok...midterm was easy..and exam was a bit tough",02/15/2010,2.0,2.0,,5,Sorta interested,4.0,4.0,1,Yes,1266257675000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,good,good,0,14615492,0,,awesome,4,CHM243,What you put in is what you get. If you don't like chemistry stay away from this class. Advice for incoming students: 1- NEVER miss a lecture 2-Go to office hours 3-Start the practice problems early 4-ENJOY It because he's the BEST PROF at UTM!!!!,06/26/2008,5.0,5.0,,5,Meh,4.5,4.5,1,No,1214487869000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,good,good,0,14222609,0,,awesome,4,CHM243,One of the best &quot;teachers&quot; that you will ever come across. He has designed the course with a lot of thought-does not encourage memorization and regurgitation (one of the reasons why the class average is low). His &quot;I hate my wife&quot; jokes are hillarious! But people should know that he makes all that up - in fact he married his highschool sweet-heart.,03/31/2008,5.0,5.0,,5,Sorta interested,4.5,4.5,1,Yes,1206989585000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,good,good,4,13330051,0,,good,4,CHM243,"he is always willing to help you, if you are willing do the your work. expalins things very well but the exam is a killer.. god knows where he gets the questions from.. definately not from text book or his lectures.. his tests/exams are brutal.. very few people do well in this class. I hated UTM after taking this course with georges..",07/14/2007,5.0,5.0,,4,Sorta interested,4.0,4.0,1,Yes,1184373163000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,good,good,0,13276553,0,,awesome,5,CHM243,HES AN AMAZING PROFESSOR..THE BEST YOU WILL COME ACROSS OF,06/19/2007,5.0,5.0,,5,Sorta interested,5.0,5.0,1,Yes,1182257920000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,good,good,0,12363885,0,,awesome,5,CHEM345,Wicked teacher!,11/05/2006,5.0,5.0,,5,It's my life,5.0,5.0,1,Yes,1162766716000,N/A,4928,N/A,,N/A,[],people,people
N/A,poor,good,poor,1,12336017,1,,poor,1,CHEM243,What's the point of being nice and teaching well if you were going to fail us anways&#63; What an idiot. I have no respect for people like him. If you're jealous of premeds just go kill yourself.,10/31/2006,5.0,5.0,,2,Meh,1.5,1.5,1,No,1162271509000,N/A,4928,N/A,,N/A,[],person,person
N/A,good,average,good,0,12224523,0,,good,4,CHM243,"LOVED HIM AND HIS CLASS! Think of orgo as a game of chess, there can be many different pathways (moves) to get to the final destination (product). To tell you the truth, becuase his tests are so comprehensive, you only really do well if you click with organic chem, otherwise you'll have to do way too much studying. You'll never kno til you take it.",09/11/2006,3.0,3.0,,4,Low,4.0,4.0,1,Yes,1157935514000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,average,good,0,11890542,0,,awesome,4,CHM243,"Georges is a good prof, but course is alot of work. I put in 1 hour a day mon-fri, and 2 hours/day sat and sun, while doing a full-course load. I ended up with an 84% in 2006 class, so it can be done. Do past test and exams, althogu he wont use same questions he uses same techniques and methods. Memorize all reactions and you will be fine.Good luck",05/15/2006,2.0,2.0,,5,Sorta interested,4.5,4.5,1,N/A,1147713655000,N/A,4928,N/A,,N/A,[],people,people
