attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,good,good,0,32873886,0,,awesome,5,AST101,"He's super nice and the course was really interesting, but also really challenging. There was way more scientific math involved than I'd hoped for. (I took this course for my science distribution credit.)",01/28/2020,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1580233241000,Yes,4928,Yes,,N/A,"['Caring', 'Tough grader']",people,people
Mandatory,average,good,average,0,32638239,0,,poor,2,AST101,"drop this class immediatly, the ta's are terrible, make many mistakes. i showed up to every lecture read the whole textbook and still did bab, hes a nice man tho, passionate yet monotone, if you take his class i would suggest waiting till you get your grade back than decide, for non scince students its quite unreasonable",12/13/2019,5.0,5.0,,2,N/A,2.0,2.0,1,Yes,1576202706000,No,4928,Yes,,C,"['Tough grader', 'Get ready to read', 'Test heavy']",people,people
Mandatory,average,good,average,0,31650023,0,,average,3,AST201,"good teacher, but course content heavy, 3 classes a week of just content lol if you don't keep up you're screwed. Difficult course for me.",04/23/2019,4.0,4.0,,3,N/A,3.0,3.0,1,Yes,1556014624000,No,4928,No,,N/A,"['Lecture heavy', 'Tough grader', 'Get ready to read']",people,people
Mandatory,good,good,good,0,31361726,0,,awesome,5,AST110,"Prof Lester is an incredible professor, passionate about astrology. He is quite monotone and his notes are inclusive so lectures aren't really necessary. Best way to do well is to go to his office with any questions and concerns, he's an excellent teacher. Won't find answers to problem sets online but he will put in the time to explain.",02/18/2019,4.0,4.0,,5,N/A,5.0,5.0,1,No,1550511318000,Yes,4928,Yes,,A-,"['Accessible outside class', 'Respected', 'Inspirational']",people,people
Mandatory,average,average,average,2,29954185,0,,average,3,AST101,"Really easy class, but often gets boring and dull. The assignments are free marks, and the tests and exam wasn't too bad either. Make sure you write every single detail on his short answer questions; he's very picky regarding those. But hey, if you every wanna touch a meteorite, then this class is perfect just for you :)",05/01/2018,2.0,2.0,,3,N/A,3.0,3.0,1,Yes,1525215892000,Yes,4928,Yes,,A-,"['Test heavy', 'Accessible outside class', 'Respected']",people,people
Mandatory,average,average,average,1,28985761,0,,average,3,AST101,Took AST 101 and the course is designed for student's who don't have a science background. A better Astronomer than lecturer; his styling of teaching can be boring. Attending class is an easy way to get a good grade. Getting the textbook isn't mandatory but many of his test questions are based off the book and homework load isn't too heavy.,11/29/2017,3.0,3.0,,3,N/A,3.0,3.0,1,Yes,1511948186000,Yes,4928,Yes,,N/A,"[""Skip class? You won't pass."", 'Accessible outside class']",people,person
N/A,good,average,good,1,28827000,0,,good,4,AST110,"Certainly a better Astronomer than a teacher, but his experience and knowledge of the field makes him an excellent mouthpiece for the industry. He seems to prefer being one on one with students than teaching in lecture halls, so office visits are a good idea. He is very understanding of the student perspective, so his homework/tests are fair.",11/02/2017,3.0,3.0,,4,N/A,4.0,4.0,1,Yes,1509667008000,Yes,4928,Yes,,N/A,"['Accessible outside class', ""Skip class? You won't pass."", 'Lots of homework']",people,person
Mandatory,average,good,average,0,28430198,0,,poor,2,AST101,"I'm not a science student and was overwhelmed by the amount of preconceived knowledge that was expected. I found his lecture style boring and monotonous so I disliked going to lecture (But I did or else I would have failed).  If you're good at physics, this class will be a breeze. But non-science majors looking for a science credit, be warned.",06/07/2017,4.0,4.0,,2,N/A,2.0,2.0,1,No,1496805004000,No,4928,Yes,,N/A,"['Accessible outside class', 'Tough grader', 'Test heavy']",people,people
N/A,good,average,good,3,26857775,1,,awesome,5,AST101,"AST101 was an interesting class in my opinion. The professor was clear in his lectures, and the tests were fair game. As long as you read the textbook and show up to class and take notes you should do good in this course.",08/03/2016,2.0,2.0,,5,N/A,5.0,5.0,1,Yes,1470184137000,Yes,4928,Yes,,A-,"['Amazing lectures', 'Clear grading criteria', 'Inspirational']",person,people
Not Mandatory,good,average,good,4,26804794,0,,awesome,5,AST101,John Lester is by far one of my favourite professors at Universitt of Toronto. The course was really interesting I highly reccomend taking one of his classes.,07/14/2016,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1468484912000,Yes,4928,Yes,,A-,"['Amazing lectures', 'Caring', 'Respected']",people,people
N/A,good,good,good,2,26344267,0,,good,4,AST101,"His tests and homework are pretty tricky, some questions aren't even answered in the textbook",04/21/2016,5.0,5.0,,4,N/A,4.0,4.0,1,Yes,1461226845000,N/A,4928,Yes,,C+,"['Tough grader', 'Lots of homework', 'Get ready to read']",people,people
