attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,poor,average,poor,1,31474731,0,,awful,1,SOC705,"-He says he'll give a couple pop quizzes,but literally gives them pretty much every week... -There are marks for tutorial attendance with zero exceptions; if you miss even with a solid reason he says it does not excuse you. -Finally; if class attendance is lacking to his standards, he takes down all lecture slides that were once available online...",03/25/2019,3.0,3.0,,1,N/A,1.0,1.0,1,Yes,1553520897000,No,4928,Yes,,B,"['Beware of pop quizzes', 'Lecture heavy', ""Skip class? You won't pass.""]",people,person
Not Mandatory,average,average,average,2,27949002,0,,poor,2,CRI205,He spent a good 45 mins talking about how Criminology would get you a good job and you'll have a good job. I feel sorry for those individuals that fall for the trap. He gives out the short questions for the midterm a week in advance; however no one does well on them. He limits you to 1/2 page; however his solutions are a page long...,03/26/2017,3.0,3.0,,2,N/A,2.0,2.0,1,Yes,1490547588000,No,4928,Yes,,B-,['Graded by few things'],people,people
Not Mandatory,poor,average,poor,6,27880209,1,,awful,1,CRI205,"Don't take CRI205 with him. Honestly, take it in the summer with someone else. He is terrible at explaining things and when he does, it doesn't make sense. The textbook will teach you everything he doesn't (so basically the whole course). Literally, the worst professor I've ever had. I'd rather drop my program then have him again.",03/05/2017,3.0,3.0,,1,N/A,1.0,1.0,1,Yes,1488746829000,No,4928,Yes,,N/A,['Get ready to read'],person,people
Not Mandatory,poor,good,poor,3,26685319,0,,awful,1,SOC211H5,Does not explain well and is not helpful.,06/02/2016,4.0,4.0,,1,N/A,1.0,1.0,1,Yes,1464886022000,No,4928,Yes,,B-,"['Tough grader', 'Lots of homework', 'Get ready to read']",people,people
Not Mandatory,average,average,good,1,26111318,2,,good,3,SOC211,"I don't get the hype of the negative comments. Easiest A of my life. Ended with a 85% in the course, he literally gives you the answers in his lectures, you just need to be sure you attend, thats it. No complaints here!",03/03/2016,2.0,2.0,,5,Really into it,4.0,4.0,1,Yes,1457037741000,N/A,4928,Yes,,A,[],people,person
Mandatory,good,poor,good,1,26034795,1,,good,4,SOC211,Great prof. Don't understand the negative criticism. If I see him teaching again I will take it,02/06/2016,1.0,1.0,,4,Sorta interested,4.0,4.0,1,No,1454790702000,Yes,4928,Yes,,N/A,"['Clear grading criteria', ""Skip class? You won't pass.""]",person,person
N/A,poor,poor,average,2,25903570,0,,poor,1,SOC211,"Everyone who complained about Barmaki for SOC211 studied hard instead of smart. The course is 100% memorization and no critical thinking, it's just a bird course. Memorize the slides he tells you to memorize. Study off past tests and exams, he repeats almost all the questions. Not a clear prof, but super easy to get an A in his classes.",01/08/2016,1.0,1.0,,3,Low,2.0,2.0,1,No,1452265991000,N/A,4928,Yes,,A,[],people,people
Mandatory,poor,good,poor,1,24619865,1,,awful,1,SOC211,"Very hard to understand, nothing is posted online. Extremely rude, attempted to submit a regrade for the term essay and his response was very irrational. Will not be taking any other classes with him as a professor. ",04/18/2015,4.0,4.0,,1,Sorta interested,1.0,1.0,1,No,1429350087000,N/A,4928,Yes,,Not sure yet,"['Tough grader', 'Lecture heavy', ""Skip class? You won't pass.""]",person,person
N/A,poor,good,poor,1,24321207,1,,awful,1,SOC211H5,"Almost every slide has ""don't write this,"" however, you can't understand a thing he says due to his intense accent so you kind of wish there was a lot to write. Also, he doesn't post lectures online. He also enjoys to rant on about nothing and makes it seem like a philosophy course. Good luck.",01/22/2015,5.0,5.0,,1,Meh,1.0,1.0,1,Yes,1421941018000,N/A,4928,Yes,,N/A,"['Lecture heavy', ""Skip class? You won't pass.""]",person,person
Mandatory,average,average,average,1,23570563,0,,average,2,SOC307,"No lecture outlines, so attendance is mandatory. Easy midterm, but the exam include random questions that were never covered or even mentioned. Assignment had no instructions and doesn't answer questions about the essay. Lots of overlap in material with SOC205 and SOC211 so the material is simple to grasp.",09/01/2014,2.0,2.0,,3,Sorta interested,2.5,2.5,1,No,1409603797000,N/A,4928,N/A,,N/A,[],people,person
Mandatory,poor,good,poor,2,22664538,0,,awful,1,SOCIOL4GG3,"He is a sessional prof at McMaster teaching a course that was taught by a Professor who retired in Spring 2013. He's a HORRIBLE Professor, very unclear, reluctant to help students and takes no direction in lecture. He is very critical of students and lacks the compassion teachers should have to foster learning. No real feedback from him on anything",12/27/2013,5.0,5.0,,1,Low,1.0,1.0,1,No,1388180027000,N/A,4928,N/A,,N/A,[],people,people
N/A,poor,average,poor,0,22432874,0,,awful,1,SOC4GG3,Easily the worst experience I've had in university. He blatantly disrespects students by cutting them off during presentations and correcting everything they did wrong. Doesn't give any feedback. I have learned nothing from this class. Horrible professor who made deviant behaviour boring (which is next to impossible),12/04/2013,3.0,3.0,,1,Meh,1.0,1.0,1,No,1386169381000,N/A,4928,N/A,,N/A,[],people,people
N/A,poor,average,poor,0,22051202,1,,awful,1,SOC2C06,"The professor is a nice guy but he is not very clear on what he expects from you. He says one thing in regards to the content on the exams, but asks questions on other topics that were not mentioned. He does not provide any feedback in writing on either the short answer questions from exams or a essay assignment.",08/13/2013,2.0,2.0,,1,Really into it,1.0,1.0,1,No,1376423537000,N/A,4928,N/A,,N/A,[],person,people
N/A,good,average,good,1,21060966,1,,awesome,5,SOC211,"Great, entertaining prof. Certain things repeat themselves and can get slightly uninteresting. Overall; loved his lectures.",12/13/2012,2.0,2.0,,5,Sorta interested,5.0,5.0,1,Yes,1355426940000,N/A,4928,N/A,,N/A,[],person,person
N/A,good,average,good,1,20525286,1,,awesome,4,SOC211,"Awesome prof! So helpful and understanding. MC tests were a bit hard, but if you study textbook they are fine. Lectures are okay, sometimes useless, but he's a nice guy and speaks very pleasantly. MC exam was easy-with studying, and essay was a lot of research and work, but fair marking.",07/28/2012,2.0,2.0,,5,Really into it,4.5,4.5,1,Yes,1343495215000,N/A,4928,N/A,,N/A,[],person,person
N/A,average,average,average,0,20099091,0,,average,3,SOC211,"You will need to attend class in order to know what will be on the test. Two essays, which are very easy. Pay attention in class and you will be able to get a good mark. Recommended prof! Hes very enjoyable and jokes with you in class.",04/23/2012,2.0,2.0,,3,It's my life,3.0,3.0,1,Yes,1335157507000,N/A,4928,N/A,,N/A,[],people,people
N/A,average,poor,average,1,20044211,0,,average,2,SOC211,"MC Midterm, Two Papers, One MC exam. All worth 25%. Easy A.",04/13/2012,1.0,1.0,,3,Sorta interested,2.5,2.5,1,No,1334313026000,N/A,4928,N/A,,N/A,[],people,person
N/A,average,average,average,1,20014753,0,,poor,2,SOC211,"Good for people who don't want to come to class, and just memorize textbooks. No critical thinking required or appreciated. It's not too hard to get an acceptable grade but it's not easy to excel either. If you find an alternative, take it.",04/08/2012,3.0,3.0,,2,Low,2.0,2.0,1,Yes,1333925540000,N/A,4928,N/A,,N/A,[],people,person
N/A,poor,good,poor,0,19662795,1,,awful,1,SOC211,"This class was a pain in my you know what.  He can't teach, and he tries to make you believe what he believes but is always saying he's not. There are spelling mistakes everywhere e.g. in the textbook (which he wrote) and the lecture slides.  He acts like the tests are harder than they are though.",01/03/2012,4.0,4.0,,1,Low,1.0,1.0,1,No,1325628507000,N/A,4928,N/A,,N/A,[],person,people
N/A,average,poor,average,0,19308006,0,,average,3,SOC211,"his test very lecture based, and his essays are marked very generously. his lectures are tolerable unlike other professors. he shows more passion about what he teaches then most profs.",11/24/2011,1.0,1.0,,3,Sorta interested,3.0,3.0,1,No,1322127131000,N/A,4928,N/A,,N/A,[],people,people
N/A,poor,good,poor,0,18987532,0,,awful,1,SOC211,"He's a horrible prof and I regret not dropping out of his class. He used a book he wrote himself as the required text and it was SO BAD. I don't even know how to describe it, there were grammar and spelling mistakes on every page and pages were repeated. And it cost me $150 because it was new and now I can't even sell it because no other prof would",09/08/2011,4.0,4.0,,1,Really into it,1.0,1.0,1,No,1315509535000,N/A,4928,N/A,,N/A,[],people,people
