attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,good,0,32962785,0,,awesome,5,MATA33H3,great professor,03/10/2020,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1583803529000,Yes,4919,Yes,,Not sure yet,"['Respected', 'Gives good feedback']",people,people
Mandatory,poor,good,poor,0,32800668,0,,awful,1,MATA30,"His exams are way too hard for a first-year course. You can tell he is very passionate about math, but you need to do a lot of extra work to get at least a 70 in his class. His exam does not reflect what you know because it was way too complicated. Take this course when he is not teaching it because it will definitely drop your GPA.",01/06/2020,5.0,5.0,,1,N/A,1.0,1.0,1,Yes,1578340966000,No,4919,Yes,,N/A,"[""Skip class? You won't pass."", 'Graded by few things', 'Test heavy']",people,people
Mandatory,good,good,good,0,32507492,0,,awesome,5,MATA32,"Made me actually enjoy math, something I'll always respect. If you attend all of the lectures and listen closely, you should be fine. The tests are extremely difficult so study hard.",12/03/2019,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1575350270000,Yes,4919,Yes,,N/A,"['Lots of homework', 'Test heavy', ""Skip class? You won't pass.""]",people,people
Mandatory,average,good,average,0,32469586,0,,poor,2,MATA30H,Tests are unnecessarily difficult.,11/24/2019,5.0,5.0,,2,N/A,2.0,2.0,1,Yes,1574573287000,No,4919,Yes,,N/A,"['Tough grader', 'Test heavy', 'Respected']",people,people
Not Mandatory,good,poor,good,0,32326178,0,,good,4,MATA32F,"His lecture is funny and worth to listen and take the notes. His exam is almost like the past exam. Do the past exam and know every single question in the past exam, you will get good mark",10/28/2019,1.0,1.0,,4,N/A,4.0,4.0,1,No,1572281189000,Yes,4919,Yes,,A+,"['Tough grader', ""Skip class? You won't pass."", 'Respected']",people,people
Mandatory,good,good,good,1,31660173,0,,good,4,MATA32,"Very clear, knowledgeable professor. But his exams will not reflect your true knowledge of the course. They are unnecessarily difficult and unfair. Took A33 the next semester with Czimek, put in the same amount of studying time in, and got a mid 70(A32 mark was a low 50). But hey I would definitely recommend if you're willing to sacrifice your GPA.",04/24/2019,5.0,5.0,,4,N/A,4.0,4.0,1,Yes,1556080590000,No,4919,Yes,,D,"['Amazing lectures', 'Tough grader', 'Respected']",people,person
N/A,good,good,good,0,31476206,1,,awesome,5,MATA32,"Like pretty much all the comments say here, hes a real gem in his field. His lectures were extremely enjoyable! Finding a math prof like him is next to impossible. Dont be afraid to speak to him. Hes very kind. Exams were tough but if you work hard you will do well.",03/25/2019,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1553538840000,Yes,4919,Yes,,N/A,"['Hilarious', 'Amazing lectures', 'Inspirational']",person,people
Not Mandatory,average,good,average,1,31312212,0,,poor,2,MATA32,quizzes are OK as they're made by TAs but his tests are unnecessarily hard,01/28/2019,5.0,5.0,,2,N/A,2.0,2.0,1,Yes,1548686975000,No,4919,Yes,,N/A,"['Tough grader', 'Test heavy', ""Skip class? You won't pass.""]",people,person
Not Mandatory,good,good,good,1,31272300,8,,good,4,MATA32,"Excellent teacher, but gave out a tough final exam. Tough course and you really need to study",01/17/2019,4.0,4.0,,4,N/A,4.0,4.0,1,Yes,1547693966000,Yes,4919,Yes,,B+,"['Tough grader', ""Skip class? You won't pass."", 'Lots of homework']",people,person
Mandatory,average,good,average,2,31094622,1,,average,3,MATA32,"He can teach well, that is no doubt. However, I wish he posted solutions for some of the assignments and final exam past papers. His exams are really hard and unfortunately he doesn't do bellcurve.",12/19/2018,5.0,5.0,,3,N/A,3.0,3.0,1,Yes,1545196180000,No,4919,Yes,,N/A,"['Tough grader', 'Lots of homework', ""Skip class? You won't pass.""]",person,people
