attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,good,average,0,32728091,0,,average,3,FRSC300,"Has amazing stories/experiences and is a genuine expert in his field. However, university teaching is not for him. He made inappropriate jokes and showed gruesome images with little warning. There was no clear grading criteria on assignments and the final exam included information learned the day before. Great guy but not the best experience.",12/20/2019,4.0,4.0,,3,N/A,3.0,3.0,1,No,1576826118000,No,4928,Yes,,A,"['Respected', 'Graded by few things', 'Hilarious']",people,people
Mandatory,good,good,good,0,32638139,0,,awesome,5,FSC100,"wade knapp is excellent with using his history as a forensic officer paired with lectures, loved taking his class, the midterm as quite hard but the exam is copyed and pasted from the previous years exams making it super easy, for the paper worth 25% make sure you follow the format exaclty and you will get high 90s",12/13/2019,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1576202333000,Yes,4928,Yes,,N/A,"['Amazing lectures', 'Caring', 'Respected']",people,people
Not Mandatory,good,average,good,0,32556793,0,,good,4,FSC100,"He's great at lectures, he gives examples from his own experiences as a cop and as a forensic investigator. You wont do well on the weekly quizzes unless you go to lecture or at least read the slides. Great guy that wont hesitate to answer questions, its a fun course but you have to put the effort in to do well",12/07/2019,3.0,3.0,,4,N/A,4.0,4.0,1,Yes,1575692783000,Yes,4928,Yes,,N/A,"['Respected', 'Get ready to read', 'Accessible outside class']",people,people
Mandatory,average,average,average,2,31637765,0,,average,3,FSC100,"He is an okay professor and it is an okay course. It required a lot of studying but I did well. The biggest issue with the course is the head TA. She is super rude, entitled, and very unhelpful. I would only recommend this course if they change the head TA in the future.",04/21/2019,3.0,3.0,,3,N/A,3.0,3.0,1,Yes,1555866478000,Yes,4928,Yes,,A-,[],people,people
Not Mandatory,average,poor,average,3,31636933,0,,poor,2,FSC100,"The thing about Professor Knaap and his lectures is that there are no middle grounds. He either goes too fast (making it hard for you to take notes) or spends too long on a specific topic. The material is also either really interesting or incredibly boring. Also, the head TA has an attitude problem, sorry not sorry, that's just the tea sis...",04/21/2019,1.0,1.0,,2,N/A,2.0,2.0,1,No,1555821092000,No,4928,Yes,,N/A,"['Lecture heavy', 'Respected']",people,people
Not Mandatory,average,average,average,2,31577953,0,,poor,2,FSC100,"did pretty decent on the test, assignment and quizzes but his lectures are boring and theres too many words on the slides for you to write things down. I stopped going to lecture after the midterm and still did fine",04/11/2019,3.0,3.0,,2,N/A,2.0,2.0,1,Yes,1555022225000,No,4928,Yes,,A-,[],people,people
Not Mandatory,average,average,average,0,31488056,0,,average,3,FSC100,"so many slides!! he started off really interesting and funny and the course material was good but towards the end he just kinda gave up and read off the slides. i skipped almost every class and didn't do bad on the test or paper. the textbook readings are not bad either. if looking for a science credit, then its not a bad choice.",03/27/2019,3.0,3.0,,3,N/A,3.0,3.0,1,Yes,1553709279000,No,4928,No,,N/A,[],people,people
Mandatory,average,good,average,0,30058317,0,,average,3,FCS303,"I took his class at uwin, nice guy &amp; enjoyed his stories but he posted the slides 3 days before the final. Also, he said he would make the final easy and it was not easy, very specific questions which was unfair (course was only for 2 weeks and posted slides late) and some things he didn't even talk/weren't on the slides were on the final.",05/10/2018,4.0,4.0,,3,N/A,3.0,3.0,1,No,1525964679000,No,4928,Yes,,N/A,"['Hilarious', 'Test heavy', 'Respected']",people,people
Mandatory,poor,good,poor,0,28101206,0,,awful,1,FSC239,He's not that bad. He barely does anything though. It was mostly based on guest lectures. His lectures are fine too. You just don't know what's eventually gonna be on the test. It's so unclear. The TA for this course was terrible and a very tough grader. I feel they just want to fail everyone so only a few students can pursue the forensics program.,04/22/2017,5.0,5.0,,1,N/A,1.0,1.0,1,Yes,1492823168000,Yes,4928,Yes,,N/A,['Tough grader'],people,people
Not Mandatory,good,average,good,0,28093060,0,,awesome,5,FSC100,"Best professor ever! So funny and chill, very respected in the forensic community. He gives us real life examples that happened to him. You don't get marked for attendance but everything he talks about is from the book + he gives examples. We had weekly quizzes which is whats holding my grade. Great prof, made me reconsider my major choices! :)",04/20/2017,2.0,2.0,,5,N/A,5.0,5.0,1,Yes,1492720260000,Yes,4928,Yes,,N/A,[],people,people
Mandatory,good,poor,good,0,27833408,0,,awesome,5,FSC100,"Great prof, amazing stories about the time he worked as a cop. Very knowledgeable about forensic science and answers questions from experience. I disagree with the person who trashed the TA. Most other FSC classes that I have taken also have a strict policy about late essays not being accepted and zeroes for not properly citing. Department policy.",02/16/2017,1.0,1.0,,5,N/A,5.0,5.0,1,Yes,1487213236000,Yes,4928,Yes,,N/A,"['Amazing lectures', 'Hilarious', 'Respected']",people,people
Mandatory,average,average,average,1,27743069,1,,average,3,FSC100,Guy is pretty monotone but his stories about when he was a cop are pretty sweet.,01/17/2017,2.0,2.0,,3,N/A,3.0,3.0,1,No,1484666222000,Yes,4928,Yes,,Not sure yet,"['Inspirational', 'Amazing lectures']",person,person
