attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,average,average,0,32954012,0,,average,3,MIE236,"Very traditional style of teaching. If you listen carefully during lecture and also read the textbook, his lectures are good for providing application-based examples and additional methods / proofs etc. Fair assignments, midterms, and final exams. Overall not the most interesting course, but good for building a basis for many other MIE courses.",03/05/2020,3.0,3.0,,3,N/A,3.0,3.0,1,Yes,1583431661000,Yes,1484,Yes,,A+,"['Clear grading criteria', 'Test heavy', 'Lecture heavy']",people,people
Not Mandatory,average,average,average,0,32659862,0,,poor,2,MIE236,"Prof Makis is stuck in the 1970s. He talks into a chalkboard and fails to answer student's questions effectively. He is very knowledgable but he fails to relate concepts to anything meaningful or modern. You will learn far more from a textbook than attending his lectures. In office hours though, he is very patient and friendly.",12/14/2019,3.0,3.0,,2,N/A,2.0,2.0,1,Yes,1576355197000,No,1484,Yes,,A+,"['Accessible outside class', 'Clear grading criteria', 'Get ready to read']",people,people
Mandatory,poor,average,poor,0,32618868,0,,awful,1,MAT236,"No point to go to his lectures. Most of them are just proving, and you will not use those on tests and exams. Tutorials are 100 times better than the lectures. If not, you are probably gonna read the textbook on your own for the whole course. You learn faster and better if you read the textbook than listening to him in class.",12/12/2019,3.0,3.0,,1,N/A,1.0,1.0,1,Yes,1576111213000,No,1484,Yes,,B,['Get ready to read'],people,people
Mandatory,good,average,good,0,31316866,0,,awesome,5,MIE236,Best professor in MIE department,01/29/2019,2.0,2.0,,5,N/A,5.0,5.0,1,Yes,1548788341000,Yes,1484,Yes,,A+,[],people,people
Mandatory,good,average,good,0,30855986,0,,awesome,5,MIE236,Lecture heavy is not his fault. Prof Makis carefully prepared notes and materials before each lecture. And his lecture notes and two assignments are really useful to the exams.,12/04/2018,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1543916867000,Yes,1484,Yes,,A,"['Gives good feedback', 'Respected', ""Skip class? You won't pass.""]",people,people
Not Mandatory,average,good,average,0,29876582,0,,average,3,MIE1607,"Writing was tricky to keep track of. Material is extremely hard, if you wanna screw up yourself for your semester, go right ahead",04/24/2018,4.0,4.0,,3,N/A,3.0,3.0,1,Yes,1524568532000,No,1484,Yes,,N/A,['Tough grader'],people,people
Not Mandatory,good,average,good,0,29507923,0,,good,4,MIE1607,"clear lecture and patient to student's question, on matter in classroom or office hour.",01/26/2018,3.0,3.0,,4,N/A,4.0,4.0,1,Yes,1516997908000,Yes,1484,Yes,,N/A,[],people,people
Mandatory,poor,good,poor,2,28026902,0,,awful,1,MIE364,Terrible proff,04/10/2017,4.0,4.0,,1,N/A,1.0,1.0,1,Yes,1491858397000,No,1484,N/A,,N/A,"['Lecture heavy', 'Lots of homework', ""Skip class? You won't pass.""]",people,people
Not Mandatory,poor,average,poor,4,27074158,2,,awful,1,MIE236,"Maaaan, this guy is a bad lecturer and his TAs are a disaster...",10/25/2016,3.0,3.0,,1,N/A,1.0,1.0,1,Yes,1477358595000,No,1484,Yes,,INC,[],people,people
Mandatory,poor,good,poor,2,26220035,3,,awful,1,MIE364,he should go to schools that teaches professors and teachers how to effectively teach students.,04/02/2016,5.0,5.0,,1,N/A,1.0,1.0,1,No,1459615683000,N/A,1484,Yes,,N/A,['Lecture heavy'],people,people
Mandatory,good,poor,good,1,25948159,4,,awesome,5,MIE364,"Best Prof Ever!! So old school, but that's the way I like it. Knows everything there is to know about the subject.",01/15/2016,1.0,1.0,,5,It's my life,5.0,5.0,1,Yes,1452877524000,Yes,1484,Yes,,A+,"['Inspirational', 'Hilarious']",people,person
Mandatory,average,good,average,1,25198842,0,,average,3,MIE236,Super hard but awesome Prof.,09/20/2015,5.0,5.0,,3,Sorta interested,3.0,3.0,1,Yes,1442707504000,N/A,1484,Yes,,A+,"[""Skip class? You won't pass."", 'Lots of homework', 'Participation matters']",people,person
N/A,good,poor,good,1,24675202,1,,awesome,5,MIE1607,I audited this course and I observed the Prof was really good in providing clear interpretations of course concepts and had a strong grasp of topics,04/27/2015,1.0,1.0,,5,Really into it,5.0,5.0,1,Yes,1430096507000,N/A,1484,N/A,,N/A,[],person,person
Mandatory,average,good,average,0,24438562,0,,average,2,MIE364,"Had to take this course as a mech-manufacturing stream. Concepts were very unclear and skipped over quickly for mech students to understand. Not much consideration was given, except to be made fun of ""you'll get it if you aren't from mech"" and just told to ""study harder than others"". His writing is horrible and hard to read. Tutorials will help you",03/06/2015,5.0,5.0,,3,Meh,2.5,2.5,1,Yes,1425651104000,N/A,1484,Yes,,N/A,[],people,people
N/A,poor,average,average,0,24270891,0,,poor,1,MIE236,"His lectures are basically useless. Tutorial TAs aren't that much better, however examsassignments are easy",01/12/2015,3.0,3.0,,3,Really into it,2.0,2.0,1,Yes,1421026890000,N/A,1484,Yes,,A,[],people,people
Mandatory,average,average,average,1,24128332,0,,average,2,MIE236,"Professor Makis is not a good lecturer at all and if the class wasn't mandatory I would recommend skipping it; however, his tests are extremely fair. He asks similar questions on the finals every year so be prepared for that. Also, go to his office hours the second you're confused because he's super helpful in all of his one-on-one explanations.",12/18/2014,3.0,3.0,,3,Really into it,2.5,2.5,1,Yes,1418863419000,N/A,1484,Yes,,Not sure yet,"['Clear grading criteria', 'Participation matters']",people,person
Mandatory,good,average,good,0,23501068,1,,awesome,5,MIE364,"Awesome prof, organized, clear, helpful and so classic.",08/05/2014,3.0,3.0,,5,Really into it,5.0,5.0,1,Yes,1407242098000,N/A,1484,N/A,,A,[],person,people
N/A,good,average,good,0,21644507,0,,good,4,MIE364,"Old-school guy. Very smart. Knows his stuff from heart. It may be hard to keep up with him in the lecture but try to grab a seat in the 1st-3 rows. Really nice and funny in his office hour. Tutorials and labs are well structured. As opposed to the popular myth, he does pay attention to student questions.",05/01/2013,2.0,2.0,,4,It's my life,4.0,4.0,1,No,1367402289000,N/A,1484,N/A,,N/A,[],people,people
N/A,average,good,poor,0,20054009,0,,poor,2,MIE237,"you will be confused, the midterm/exam will be hard, the problem sets will be impossible without help, but next semester you get a great course in statistics, especially if you have neil.",04/15/2012,5.0,5.0,,1,Low,1.5,1.5,1,Yes,1334526022000,N/A,1484,N/A,,N/A,[],people,people
N/A,good,average,good,0,20045166,0,,awesome,5,MIE236,"He is a very experienced prof. His notes are awesome. His teaching is ""old-school"" (which is perfect). He writes everything on the board (do take notes). The lectures cover the theory and tutorials cover the examples.",04/13/2012,2.0,2.0,,5,It's my life,5.0,5.0,1,Yes,1334324098000,N/A,1484,N/A,,N/A,[],people,people
N/A,good,average,good,0,19220346,0,,good,4,MIE236,"Explains material clearly in lecture,helpful and friendly during office hours, lenient marking on tests, tests are very representative of course material, synchs course well with textbook. Not quite sure why all the previous ratings are so negative.",11/11/2011,2.0,2.0,,4,Sorta interested,4.0,4.0,1,Yes,1321050434000,N/A,1484,N/A,,N/A,[],people,people
N/A,poor,good,average,0,18462217,0,,average,1,MIE364,"Very hard to keep up in lecture. The prof does not spend enough time explaining concepts and is careless about how well the class understands his material. On the other hand, he's very patient in office hours, therefore makes it a vise choice to meet him personally from time to time. Overall, don't take this class if you don't have to.",04/25/2011,5.0,5.0,,4,Sorta interested,2.5,2.5,1,Yes,1303729077000,N/A,1484,N/A,,N/A,[],people,people
N/A,average,good,average,0,11031434,0,,good,2,STATS2,"crazy hard course, material wildly confusing.  but omigod visit him during office hours: he's imhumanly patient with even the dumbest questions, gives tons of extra advice, and even detailed answers to work problems.  Hotness is for his deep baratone voice... mmmm....",12/01/2005,4.0,4.0,,5,Sorta interested,3.5,3.5,1,N/A,1133476158000,N/A,1484,N/A,,N/A,[],people,people
N/A,average,good,average,0,3219087,0,,good,3,MIE237,No Comments,01/13/2005,5.0,5.0,,4,Sorta interested,3.5,3.5,1,N/A,1105649095000,N/A,1484,N/A,,N/A,[],people,people
N/A,average,good,average,0,2822355,1,,average,2,MIE475,"Holy smokes this course is hard!  If you're in MIE, be glad that he adjusts marks based on MIE scores and not the eng sci ones.",11/23/2004,5.0,5.0,,4,Low,3.0,3.0,1,N/A,1101213195000,N/A,1484,N/A,,N/A,[],person,people
