attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,0,32281261,0,,good,4,STA304,Great prof. Actually cares about your learning. Will take time to explain in class. Answers questions. Does everything you need a prof to do. Best in the department (my opinion).,10/13/2019,3.0,3.0,,4,N/A,4.0,4.0,1,Yes,1570925738000,Yes,1484,Yes,,N/A,"['Caring', 'Inspirational', 'Amazing lectures']",people,people
N/A,average,good,average,4,31763404,0,,poor,2,STA304,I wonder how many people actually go to his awful lectures,05/03/2019,5.0,5.0,,2,N/A,2.0,2.0,1,Yes,1556919128000,No,1484,Yes,,N/A,"['Test heavy', 'Tough grader']",people,people
Not Mandatory,poor,good,poor,9,31237560,0,,awful,1,STA304,"His course is pretty hard and you will really need to practice a ton of past tests and past final exams to do well. Also his final exam is always 60% so if you don't like that format, this course isn't for you since it tests you on speed and accuracy under a time constraint.",01/10/2019,5.0,5.0,,1,N/A,1.0,1.0,1,Yes,1547133756000,No,1484,Yes,,N/A,[],people,people
Mandatory,poor,good,poor,0,31230697,0,,awful,1,STA304,Poorly-written lecture slides to force you to attend his strong-accent lectures. Slides are uncorrelated to the textbook he required.,01/09/2019,5.0,5.0,,1,N/A,1.0,1.0,1,No,1547050361000,No,1484,Yes,,N/A,"['Test heavy', 'Tough grader', ""Skip class? You won't pass.""]",people,people
Mandatory,good,average,good,2,30952858,33,,awesome,5,STA304,Some people don't like him but I love his courses. You have to go to lectures and takes notes if you want to enjoy this course. Tests are very similar to past tests. Not many people show up to lectures so you can ask as many questions as you want and he will give hints for the test. Very good prof. imo,12/10/2018,3.0,3.0,,5,N/A,5.0,5.0,1,No,1544472802000,Yes,1484,Yes,,INC,"['Respected', 'Lecture heavy', 'Gives good feedback']",people,people
Not Mandatory,average,good,average,3,29984715,0,,average,3,STA304H,"His accent is kind of strong, so it is hard to understand him during lecture. Midterms and exam comprises all the parts of the grade scheme, so you have to do well in the test for a good grade. Time is very limited in midterms and exam, so make sure you practice enough past test before the actual test. Luckly his test is very similar to past test.",05/04/2018,4.0,4.0,,3,N/A,3.0,3.0,1,No,1525428456000,Yes,1484,Yes,,A+,"['Accessible outside class', 'Graded by few things', 'Test heavy']",people,people
Not Mandatory,average,good,average,1,29412682,2,,average,3,STA257,"The class is very tough, there is only a midterm 40% and 60% exam, the midterm and exam are fair, they are similar to his past exams which he posts with solutions. His lectures are useless to go to, just read the book. He is very helpful during office hours although. Just be prepared for a lot of work. Pretty funny guy still",01/08/2018,4.0,4.0,,3,N/A,3.0,3.0,1,Yes,1515426317000,No,1484,Yes,,N/A,['Graded by few things'],people,person
N/A,good,poor,good,4,29301458,17,,awesome,5,STA304,Great knowledgeable professor. Take his sta304 and you wont regret!,12/21/2017,1.0,1.0,,5,N/A,5.0,5.0,1,Yes,1513820657000,Yes,1484,Yes,,N/A,"['Caring', 'Amazing lectures', 'Inspirational']",people,people
Not Mandatory,poor,good,poor,7,29212688,0,,awful,1,STA257,Really bad prof expects students to know everything he does while not being able to teach even the most simple topic. Marking scheme is horrible: Midterm worth 40% and final worth 60%. Listen carefully and switch sections or drop the course before its too late. I didn't and I regret it.,12/15/2017,5.0,5.0,,1,N/A,1.0,1.0,1,Yes,1513296767000,No,1484,Yes,,Not sure yet,['Tough grader'],people,people
N/A,good,good,good,7,28933758,44,,awesome,5,STA257,"He's not the best professor at u of t, rather, he's the professor in the WORLD!!!!!!!!!!!!!!!!!! Dragan Banjevic's teaching is so amazing that he can revive the dead.",11/19/2017,5.0,5.0,,5,N/A,5.0,5.0,3,Yes,1511091744000,Yes,1484,Yes,,N/A,[],people,people
